"Trazado2"
"Tiempo (sec)","Velocidad1 (inch/sec)"
0,12.46148582984
0.0397959183673469,89.5983747216667
0.0795918367346939,234.735214844282
0.119387755102041,440.206325078974
0.159183673469388,704.582286703535
0.198979591836735,999.226615949776
0.238775510204082,1333.99380369584
0.278571428571429,1678.36821981142
0.318367346938776,2023.85235315586
0.358163265306123,2357.16941643865
0.397959183673469,2638.79660616204
0.437755102040816,2909.08091136647
0.477551020408163,3138.57219287017
0.51734693877551,3238.99001957874
0.557142857142857,3294.92969006712
0.596938775510204,3334.36191992162
0.636734693877551,3261.85227263384
0.676530612244898,3065.33364359438
0.716326530612245,2901.92029561671
0.756122448979592,2702.34072986377
0.795918367346939,2338.67544494961
0.835714285714286,1987.36074851334
0.875510204081633,1713.04543790269
0.91530612244898,1352.17107438566
0.955102040816327,966.623317028796
0.994897959183674,704.020576575158
1.03469387755102,480.722867984952
1.07448979591837,221.845189488681
1.11428571428571,68.1552679012518
1.15408163265306,34.4161092517657
1.19387755102041,-0.0176390734023736
1.23367346938776,1.81700829913765e-06
1.2734693877551,1.52461089342126e-06
1.31326530612245,3.16533462308262e-06
1.3530612244898,-6.23698967155793e-07
1.39285714285714,-4.26564587038378e-06
1.43265306122449,-9.41724186646188e-07
1.47244897959184,0.187759903971616
1.51224489795918,-60.2307567598457
1.55204081632653,-148.739028623584
1.59183673469388,-304.016795044211
1.63163265306122,-600.022457955356
1.67142857142857,-904.170133174217
1.71122448979592,-1148.27809587876
1.75102040816326,-1466.44697494242
1.79081632653061,-1791.02405290465
1.83061224489796,-1979.60261626838
1.87040816326531,-2112.46061317242
1.91020408163265,-2230.94523263052
1.95,-2216.16916634021
1.98979591836735,-2103.8641479321
2.02959183673469,-1943.29866431136
2.06938775510204,-1723.92262557902
2.10918367346939,-1438.59681242887
2.14897959183673,-1134.99821970398
2.18877551020408,-829.466401755881
2.22857142857143,-545.999203654926
2.26836734693877,-303.784721449985
2.30816326530612,-122.449049555998
2.34795918367347,-32.3996051772541
2.38775510204081,-0.083521751212601
2.42755102040816,-6.42928892500101e-07
2.46734693877551,-3.34541008504683e-06
2.50714285714285,3.24594963932073e-06
2.5469387755102,1.25070279710006e-06
2.58673469387755,4.11942495059067e-06
2.6265306122449,-5.65688182659794e-06
2.66632653061224,3.77770562179903e-06
2.70612244897959,4.3274771804084e-06
2.74591836734694,2.17445362002585e-06
2.78571428571428,-4.18993851297047e-06
2.82551020408163,-9.24426054846363e-07
2.86530612244898,2.72076574044395e-06
2.90510204081632,-1.49152084276109e-06
2.94489795918367,-2.15839342568892e-05
2.98469387755102,11.5985449032
3.02448979591836,-64.0428672095611
3.06428571428571,-218.058827012807
3.10408163265306,-396.258873476323
3.1438775510204,-659.346278893548
3.18367346938775,-1002.82189692335
3.2234693877551,-1279.51203404411
3.26326530612245,-1540.06421642401
3.30306122448979,-1852.92767128545
3.34285714285714,-2058.4039492948
3.38265306122449,-2145.26682289415
3.42244897959183,-2204.15651696303
3.46224489795918,-2197.84383812911
3.50204081632653,-2071.77903836602
3.54183673469387,-1876.09103659981
3.58163265306122,-1636.78866361003
3.62142857142857,-1345.91827633778
3.66122448979591,-1043.25173775929
3.70102040816326,-742.298952295136
3.74081632653061,-460.64142961087
3.78061224489795,-242.740206080136
3.8204081632653,-85.6296083305682
3.86020408163265,-8.46696484081447
3.9,12.3154431425627
