"Trazado3"
"Tiempo (sec)","Aceleración1 (mm/sec**2)"
0,23879.8108510883
0.0397959183673469,72358.9159008423
0.0795918367346939,107659.658997542
0.119387755102041,129311.049720602
0.159183673469388,274440.264720708
0.198979591836735,197402.293419042
0.238775510204082,183780.130912109
0.278571428571429,242954.326718993
0.318367346938776,188776.599115474
0.358163265306123,221801.576372534
0.397959183673469,235747.80783266
0.437755102040816,-243708.334957488
0.477551020408163,191678.108713653
0.51734693877551,396194.604985107
0.557142857142857,-280255.948884011
0.596938775510204,-299784.504719448
0.636734693877551,513734.46270492
0.676530612244898,-141193.754735279
0.716326530612245,-751544.476039092
0.756122448979592,-22525.9764759591
0.795918367346939,327144.157640177
0.835714285714286,-586713.819100535
0.875510204081633,-760364.951045128
0.91530612244898,272325.723549885
0.955102040816327,142227.954035176
0.994897959183674,-911135.587623359
1.03469387755102,37185.2959854265
1.07448979591837,282956.675554117
1.11428571428571,-396208.770050071
1.15408163265306,-215027.427257814
1.19387755102041,169.360857339348
1.23367346938776,0.137800720716961
1.2734693877551,-0.30377990881763
1.31326530612245,0.138304873489732
1.3530612244898,0.188147292289349
1.39285714285714,0.0210585121019406
1.43265306122449,-0.340959836023981
1.47244897959184,-33902.0926933946
1.51224489795918,73745.2985206114
1.55204081632653,-648052.553617378
1.59183673469388,255713.008497029
1.63163265306122,196546.339812248
1.67142857142857,-486672.235209017
1.71122448979592,-490951.967612201
1.75102040816326,240512.389002511
1.79081632653061,-90137.7561177817
1.83061224489796,-774662.405902648
1.87040816326531,-92490.6093858292
1.91020408163265,422133.461260096
1.95,-226189.390013284
1.98979591836735,-139229.729631799
2.02959183673469,314032.909647619
2.06938775510204,163061.686972103
2.10918367346939,141313.901943919
2.14897959183673,198728.998572001
2.18877551020408,177246.88992339
2.22857142857143,168801.665574729
2.26836734693877,90667.4570344275
2.30816326530612,203011.313118585
2.34795918367347,77498.5067728746
2.38775510204081,-264.163552092863
2.42755102040816,0.153721436465452
2.46734693877551,-0.114120827007033
2.50714285714285,0.110560872446177
2.5469387755102,-0.275693021992846
2.58673469387755,-0.150853772313983
2.6265306122449,-0.0435333171801414
2.66632653061224,0.091181307970179
2.70612244897959,-0.00244715120039435
2.74591836734694,-0.218849150521516
2.78571428571428,0.0180528054863987
2.82551020408163,0.165061455502279
2.86530612244898,-0.162299065702345
2.90510204081632,0.14593027910806
2.94489795918367,-0.178639597568387
2.98469387755102,107507.1179026
3.02448979591836,275721.40656254
3.06428571428571,-211354.969792602
3.10408163265306,-471409.813003955
3.1438775510204,238505.873212097
3.18367346938775,-241647.696933413
3.2234693877551,-586311.981913001
3.26326530612245,-239071.1850129
3.30306122448979,341361.176992718
3.34285714285714,-389841.428219962
3.38265306122449,-210108.515940053
3.42244897959183,162419.707415129
3.46224489795918,-60919.339196187
3.50204081632653,-23242.1096089491
3.54183673469387,163994.817580606
3.58163265306122,182400.284777331
3.62142857142857,176033.677553046
3.66122448979591,284345.594930776
3.70102040816326,75363.6557063958
3.74081632653061,139695.07690622
3.78061224489795,130650.725403494
3.8204081632653,64123.7160339937
3.86020408163265,25832.0912275353
3.9,23661.8430168094
