"Trazado3"
"Tiempo (sec)","Aceleración1 (inch/sec**2)"
0,940.150033507412
0.0397959183673469,2848.77621656859
0.0795918367346939,4238.56925187173
0.119387755102041,5090.98620947254
0.159183673469388,10804.7348315239
0.198979591836735,7771.74383539537
0.238775510204082,7235.43822488619
0.278571428571429,9565.1309731887
0.318367346938776,7432.14957147537
0.358163265306123,8732.34552647773
0.397959183673469,9281.40975719135
0.437755102040816,-9594.81633690896
0.477551020408163,7546.38223282097
0.51734693877551,15598.2127946892
0.557142857142857,-11033.6987749611
0.596938775510204,-11802.5395558838
0.636734693877551,20225.7662482252
0.676530612244898,-5558.80924154642
0.716326530612245,-29588.3651983895
0.756122448979592,-886.849467557445
0.795918367346939,12879.6912456763
0.835714285714286,-23098.9692559266
0.875510204081633,-29935.6279939027
0.91530612244898,10721.4851791293
0.955102040816327,5599.52574941637
0.994897959183674,-35871.4798276913
1.03469387755102,1463.9880309223
1.07448979591837,11140.0265966188
1.11428571428571,-15598.7704744122
1.15408163265306,-8465.64674243361
1.19387755102041,6.66775028895073
1.23367346938776,0.00542522522507719
1.2734693877551,-0.0119598389298279
1.31326530612245,0.00544507375943826
1.3530612244898,0.00740737371217911
1.39285714285714,0.000829075279603962
1.43265306122449,-0.0134236155914953
1.47244897959184,-1334.72805879506
1.51224489795918,2903.35820947289
1.55204081632653,-25513.8800636763
1.59183673469388,10067.4412794106
1.63163265306122,7738.04487449796
1.67142857142857,-19160.3242208275
1.71122448979592,-19328.8176225276
1.75102040816326,9468.99169301225
1.79081632653061,-3548.73055581818
1.83061224489796,-30498.5199174271
1.87040816326531,-3641.36257424524
1.91020408163265,16619.4276086652
1.95,-8905.0940950112
1.98979591836735,-5481.48541857476
2.02959183673469,12363.5003798275
2.06938775510204,6419.7514555946
2.10918367346939,5563.53944661099
2.14897959183673,7823.97632173231
2.18877551020408,6978.22401273191
2.22857142857143,6645.73486514681
2.26836734693877,3569.58492261525
2.30816326530612,7992.57138262145
2.34795918367347,3051.1223138927
2.38775510204081,-10.4001398461757
2.42755102040816,0.00605202505769494
2.46734693877551,-0.00449294594515877
2.50714285714285,0.00435279025378651
2.5469387755102,-0.0108540559839703
2.58673469387755,-0.00593912489425129
2.6265306122449,-0.00171391012520242
2.66632653061224,0.0035898152744165
2.70612244897959,-9.63445354485965e-05
2.74591836734694,-0.00861610828824868
2.78571428571428,0.000710740373480263
2.82551020408163,0.00649848250008971
2.86530612244898,-0.00638972699615532
2.90510204081632,0.0057452865790575
2.94489795918367,-0.00703305502237743
2.98469387755102,4232.56369695277
3.02448979591836,10855.1734867142
3.06428571428571,-8321.06180285836
3.10408163265306,-18559.4414568486
3.1438775510204,9389.99500835026
3.18367346938775,-9513.6888556462
3.2234693877551,-23083.1488942126
3.26326530612245,-9412.25137846064
3.30306122448979,13439.4164170361
3.34285714285714,-15348.0877251954
3.38265306122449,-8271.98881653753
3.42244897959183,6394.47666988697
3.46224489795918,-2398.39918095224
3.50204081632653,-915.043685391696
3.54183673469387,6456.48888112622
3.58163265306122,7181.11357391067
3.62142857142857,6930.45974618291
3.66122448979591,11194.7084618416
3.70102040816326,2967.07305930692
3.74081632653061,5499.80617741022
3.78061224489795,5143.72934659427
3.8204081632653,2524.55574936983
3.86020408163265,1017.011465651
3.9,931.568622709032
