"Trazado3"
"Tiempo (sec)","Aceleración1 (inch/sec**2)"
0,4.98750140876676
0.0397959183673469,0.299238448500772
0.0795918367346939,0.32851143968122
0.119387755102041,0.857878849330618
0.159183673469388,1.42779819934031
0.198979591836735,2.20261243003539
0.238775510204082,2.96571558915344
0.278571428571429,3.63885486137247
0.318367346938776,4.66044918118318
0.358163265306123,5.39089095056974
0.397959183673469,5.99053944826777
0.437755102040816,6.37090909586352
0.477551020408163,7.90366583728074
0.51734693877551,8.05395997936579
0.557142857142857,6.93218146041535
0.596938775510204,14.7126647226855
0.636734693877551,13.3508512531226
0.676530612244898,-0.707393296655173
0.716326530612245,-13.760349049139
0.756122448979592,11.331769267951
0.795918367346939,23.1110236797608
0.835714285714286,6.8607967845144
0.875510204081633,-35.5323758158384
0.91530612244898,-30.9094402854808
0.955102040816327,0.0214987339029431
0.994897959183674,6.35179809079271e-06
1.03469387755102,-1.05665858535106e-05
1.07448979591837,5.64958752911625e-06
1.11428571428571,5.4278008407351e-06
1.15408163265306,6.16621351044853e-06
1.19387755102041,3.54230009964116e-06
1.23367346938776,5.72886038468428e-06
1.2734693877551,-1.13656851900519e-05
1.31326530612245,2.37692687894796e-07
1.3530612244898,6.65845054580696e-06
1.39285714285714,-1.86622758800711e-06
1.43265306122449,6.23986253912192e-06
1.47244897959184,6.27666098539632e-06
1.51224489795918,-1.5416273078947e-05
1.55204081632653,-1.12413222935717e-05
1.59183673469388,-7.18031450100221e-06
1.63163265306122,5.67824510294814e-06
1.67142857142857,1.44283176293539e-06
1.71122448979592,-3.88216244913667e-06
1.75102040816326,6.57979762029361e-06
1.79081632653061,8.83161727455208e-06
1.83061224489796,1.29436024320639e-06
1.87040816326531,-2.42549862780877e-06
1.91020408163265,2.2380841486661e-06
1.95,-2.42693135881889e-06
1.98979591836735,6.74735108550813e-06
2.02959183673469,0.000475496336094699
2.06938775510204,-9.12716171722502
2.10918367346939,16.6077944707585
2.14897959183673,2.60688986465664
2.18877551020408,-0.0646857988049086
2.22857142857143,6.66155174117601
2.26836734693877,7.54648535806164
2.30816326530612,13.2813033003268
2.34795918367347,8.86160761276784
2.38775510204081,19.1988901252378
2.42755102040816,0.00356396197541004
2.46734693877551,-7.03907692218987e-06
2.50714285714285,4.21010011085241e-06
2.5469387755102,1.28314264171046e-06
2.58673469387755,-1.99744306065196e-06
2.6265306122449,-2.09754738677383e-06
2.66632653061224,-5.85785551798371e-06
2.70612244897959,3.64826469590942e-06
2.74591836734694,5.96131443688205e-06
2.78571428571428,-1.01302986435905e-05
2.82551020408163,-5.33037805236803e-06
2.86530612244898,1.74819207913034e-06
2.90510204081632,3.30033250161417e-06
2.94489795918367,-8.27643872779114e-06
2.98469387755102,-0.0164049775498845
3.02448979591836,8.37807903192398
3.06428571428571,-5.28427181447117
3.10408163265306,-4.43441397198618
3.1438775510204,8.78512689733724
3.18367346938775,6.96464253427114
3.2234693877551,-10.529854439505
3.26326530612245,-18.1557542214532
3.30306122448979,-10.6871329384696
3.34285714285714,4.32922375368552
3.38265306122449,8.65749563098749
3.42244897959183,5.07923317676433
3.46224489795918,-14.7509751931574
3.50204081632653,-27.4875691796179
3.54183673469387,-22.3853022868191
3.58163265306122,-6.25370371943939
3.62142857142857,10.0378724289628
3.66122448979591,3.08899720900276
3.70102040816326,6.3780914218621
3.74081632653061,8.86977820761471
3.78061224489795,11.6009578695754
3.8204081632653,20.1358475089419
3.86020408163265,1.025545405436
3.9,4.8617623919671
